base,opt,Compile_ms,Opt_Unrolled,Opt_DCE_Removed,Opt_Reordered,Opt_Renamed
bench_mmul,O0,103,0,0,0,0
bench_mmul,O1,121,2,0,0,27
bench_mmul,O2,113,0,6,0,0
bench_mmul,O3,119,2,6,0,27
bench_random,O0,109,0,0,0,0
bench_random,O1,111,1,0,0,9
bench_random,O2,111,0,1,0,0
bench_random,O3,112,1,1,0,9
bench_seq,O0,109,0,0,0,0
bench_seq,O1,126,2,0,0,12
bench_seq,O2,119,0,0,0,0
bench_seq,O3,127,2,0,0,12
bench_stride,O0,113,0,0,0,0
bench_stride,O1,116,2,0,0,12
bench_stride,O2,109,0,0,0,0
bench_stride,O3,114,2,0,0,12
