base,opt,Compile_ms,Opt_Unrolled,Opt_DCE_Removed,Opt_Reordered,Opt_Renamed
LoopUnrolling,O0,145,0,0,0,0
LoopUnrolling,opt,145,1,0,0,0
Reordenamiento,O0,145,0,0,0,0
Reordenamiento,opt,140,0,0,2,0
dce_cadenas_post,O0,138,0,0,0,0
dce_cadenas_post,opt,136,0,24,0,0
dce_func_y_main,O0,136,0,0,0,0
dce_func_y_main,opt,139,0,19,0,0
dce_if_muerto,O0,138,0,0,0,0
dce_if_muerto,opt,137,0,16,0,0
pruebaEliminacionCodigo,O0,155,0,0,0,0
pruebaEliminacionCodigo,opt,156,0,19,0,0
rename_for_WAW,O0,133,0,0,0,0
rename_for_WAW,opt,132,0,0,0,5
rename_func_mixto,O0,135,0,0,0,0
rename_func_mixto,opt,138,0,0,0,10
rename_if_WAR,O0,137,0,0,0,0
rename_if_WAR,opt,137,0,0,0,8
rename_presion_regs,O0,134,0,0,0,0
rename_presion_regs,opt,135,0,0,0,12
reorder_1load_if,O0,145,0,0,0,0
reorder_1load_if,opt,149,0,0,3,0
reorder_2loads,O0,160,0,0,0,0
reorder_2loads,opt,148,0,0,6,0
reorder_3loads_if,O0,138,0,0,0,0
reorder_3loads_if,opt,136,0,0,9,0
unroll_for_cte,O0,147,0,0,0,0
unroll_for_cte,opt,137,1,0,0,0
unroll_for_grande,O0,132,0,0,0,0
unroll_for_grande,opt,136,1,0,0,0
unroll_while_varN,O0,132,0,0,0,0
unroll_while_varN,opt,135,1,0,0,0
