Programa,Grupo,Variante,Instr_compilador,Codigo_bytes,Compile_ms,Opt_Unrolled,Opt_DCE_Removed,Opt_Reordered,Opt_Renamed,Ciclos,Instr_simulador,CPI,IPC,Stalls_Mem,Stalls_Control,x11,Status
unroll_for_cte,unroll,O0,45,180,123,0,0,0,0,207,112,1.848214,0.5411,80,11,0x1C,OK
unroll_for_cte,unroll,opt,57,228,123,1,0,0,0,187,100,1.870000,0.5348,80,7,0x1C,OK
unroll_while_varN,unroll,O0,35,140,124,0,0,0,0,124,102,1.215686,0.8226,0,15,0xF,OK
unroll_while_varN,unroll,opt,40,160,123,1,0,0,0,95,85,1.117647,0.8947,0,9,0xF,OK
unroll_for_grande,unroll,O0,45,180,131,0,0,0,0,471,328,1.435976,0.6964,80,35,0x1F0,OK
unroll_for_grande,unroll,opt,81,324,126,1,0,0,0,427,256,1.667969,0.5995,156,11,0x1F0,OK
rename_for_WAW,rename,O0,38,152,126,0,0,0,0,123,46,2.673913,0.3740,81,1,0x42,OK
rename_for_WAW,rename,opt,38,152,123,0,0,0,5,123,46,2.673913,0.3740,81,1,0x42,OK
rename_if_WAR,rename,O0,74,296,126,0,0,0,0,897,311,2.884244,0.3467,510,39,0x36,OK
rename_if_WAR,rename,opt,74,296,126,0,0,0,8,897,311,2.884244,0.3467,510,39,0x36,OK
rename_func_mixto,rename,O0,83,332,126,0,0,0,0,908,297,3.057239,0.3271,533,36,0x42,OK
rename_func_mixto,rename,opt,83,332,125,0,0,0,10,908,297,3.057239,0.3271,533,36,0x42,OK
dce_if_muerto,dce,O0,83,332,126,0,0,0,0,449,78,5.756410,0.1737,362,6,0x5,OK
dce_if_muerto,dce,opt,58,232,127,0,16,0,0,255,65,3.923077,0.2549,183,6,0x5,OK
dce_func_y_main,dce,O0,79,316,127,0,0,0,0,435,117,3.717949,0.2690,306,7,0x7,OK
dce_func_y_main,dce,opt,52,208,125,0,19,0,0,250,81,3.086420,0.3240,158,7,0x7,OK
dce_cadenas_post,dce,O0,90,360,137,0,0,0,0,576,98,5.877551,0.1701,467,4,0x6,OK
dce_cadenas_post,dce,opt,46,184,127,0,24,0,0,242,54,4.481481,0.2231,186,4,0x6,OK
reorder_1load_if,reorder,O0,38,152,125,0,0,0,0,179,46,3.891304,0.2570,136,1,0x24,OK
reorder_1load_if,reorder,opt,40,160,124,0,0,3,0,178,48,3.708333,0.2697,132,1,0x24,OK
reorder_2loads,reorder,O0,53,212,124,0,0,0,0,348,61,5.704918,0.1753,288,1,0x41,OK
reorder_2loads,reorder,opt,57,228,127,0,0,6,0,319,65,4.907692,0.2038,253,1,0x41,OK
reorder_3loads_if,reorder,O0,54,216,125,0,0,0,0,347,62,5.596774,0.1787,286,1,0x1B,OK
reorder_3loads_if,reorder,opt,58,232,125,0,0,9,0,332,66,5.030303,0.1988,265,1,0x1B,OK
rename_presion_regs,rename,O0,76,304,126,0,0,0,0,415,84,4.940476,0.2024,327,4,0xDB,OK
rename_presion_regs,rename,opt,76,304,126,0,0,0,12,415,84,4.940476,0.2024,327,4,0xDB,OK
LoopUnrolling,unroll,O0,213,852,128,0,0,0,0,9737,2389,4.075764,0.2454,6622,166,0x24b0,OK
LoopUnrolling,unroll,opt,271,1084,131,1,0,0,0,6971,1781,3.914093,0.2555,4753,70,0x24b0,OK
pruebaEliminacionCodigo,dce,O0,212,848,131,0,0,0,0,3612,787,4.589581,0.2179,2637,43,0x86,OK
pruebaEliminacionCodigo,dce,opt,177,708,131,0,19,0,0,2993,675,4.434074,0.2255,2139,43,0x86,OK
Reordenamiento,reorder,O0,99,396,127,0,0,0,0,1623,368,4.410326,0.2267,1150,34,0x348,OK
Reordenamiento,reorder,opt,101,404,128,0,0,2,0,1747,382,4.573298,0.2187,1253,34,0x348,OK
